;;;;;;;;avarage;;
;;;;;;;;t-tests;;
;;;;;;;;distributions;;
4533,04;2312,14;1571,08;4489,14;2212,92;1502,2;;;;;
1, 2;1, 4;1, 6;2,2,;2, 4;2, 6;;;2;4;6
5057;2389;1781;4253;1890;1325;;p;0,612;0,042;0,068
5008;3027;1547;4620;2321;1273;;;;;
5136;2344;1437;5192;2263;1442;;;;;
4152;2156;1404;4353;2047;1430;;;156418,447;55505,878;41163,055
4072;3053;1769;4447;2448;1517;;;215020,858;60660,728;28194,286
4500;2496;1253;5006;2596;1519;;;;;
4594;2124;1384;5221;1998;1424;;;-0,010;;
3876;2185;1398;3869;2147;1383;;;-0,043;;
4031;2305;1436;4005;2536;1488;;;-0,044;;
4442;2254;1825;4316;2482;1459;;;;;
4765;2090;1855;4699;2557;1417;;;;;
4257;2552;1575;4043;2009;1360;;;;;
5221;1945;1643;4102;2314;1607;;;;;
4628;2109;1602;4135;2403;1401;;;;;
4484;2392;1294;4157;2135;1290;;;;;
5561;2026;1493;4344;1957;1479;;;;;
4204;2366;1438;4771;2020;1605;;;;;
4740;2529;1782;4347;2025;2017;;;;;
4215;2496;1512;5419;2305;1383;;;;;
4948;2414;1363;3842;2460;1710;;;;;
3982;2174;1350;4081;2798;1540;;;;;
4848;2384;1645;4041;2036;1654;;;;;
4574;2455;1349;4190;1975;1663;;;;;
4627;2304;1866;5385;2191;1574;;;;;
4712;2237;1880;4380;2420;1223;;;;;
4791;2020;1531;5042;2056;1541;;;;;
4899;2195;1608;4563;2043;1675;;;;;
4452;2192;1465;4652;2128;1393;;;;;
4837;2182;1518;4373;1886;1682;;;;;
4382;2168;1533;3760;2237;1549;;;;;
4803;2278;1578;4143;1971;1428;;;;;
4361;2441;2356;4370;2206;1591;;;;;
4026;2526;1346;4849;2425;1214;;;;;
4174;2282;1624;4683;2037;1692;;;;;
4207;2097;1957;5691;2182;1404;;;;;
4609;2144;1699;4438;1933;1324;;;;;
5211;2268;1708;4104;2109;1470;;;;;
4195;2355;1384;4042;2104;1649;;;;;
4421;2208;1710;4072;2105;1696;;;;;
4392;2927;1531;4049;2475;1686;;;;;
4656;2365;1482;5397;2593;1349;;;;;
4994;2326;1746;4711;1877;1423;;;;;
4693;2160;1546;4344;2056;1343;;;;;
4005;2096;1555;5160;2284;1333;;;;;
4199;2327;1368;4752;2300;1543;;;;;
4152;2389;1553;3992;2172;1598;;;;;
5000;2405;1420;4320;3007;1977;;;;;
3911;2491;1533;4698;2072;1317;;;;;
4636;1993;1551;4753;2067;1571;;;;;
4012;1966;1371;4281;1988;1479;;;;;